 217 3023 4168 7 377 1191 109 217 106 415 5899 24, 217 3023 4168 7 377 1191 109 217 106 415 5899 24,0
 37 46 6854 6, 37 46 6854 6,0
 313 151 8353 157 1728 71 17 18066 219, 313 151 8353 157 1728 71 17 18066 219,1
 37 46 917 230 5 3231 2074, 37 46 917 230 5 3231 2074,0
 37 46 846, 37 46 846,0
 234 630 230 17 1920, 234 630 230 17 1920,1
 37 46 12 377 109 397 239, 37 46 12 377 109 397 239,0
 4574 46 3026 13730 19 20 14433 2 96 3624, 4574 46 3026 13730 19 20 14433 2 96 3624,0
 16549 17393 475 1421 96 96 6984 12 229 230 313 219 24 24 24 24 24 24 24 24 22666, 16549 17393 475 1421 96 96 6984 12 229 230 313 219 24 24 24 24 24 24 24 24 22666,1
 390 151 15 3650 313 433 22839, 390 151 15 3650 313 433 22839,1
 11294 7 4924 7 10394 7 15209 7 908 7 18259 219, 11294 7 4924 7 10394 7 15209 7 908 7 18259 219,1
 2719 13430, 2719 13430,0
 2672 7 23 16383 286 12938 219, 2672 7 23 16383 286 12938 219,1
 37 46 56 2715 60 37 46 14145 5277 5278, 37 46 56 2715 60 37 46 14145 5277 5278,0
 1468 2955 10394 91 17891 1920 345 16841 8020 219 494 22680 497, 1468 2955 10394 91 17891 1920 345 16841 8020 219 494 22680 497,1
 1982 1413 427 55 4591 24 24 24, 1982 1413 427 55 4591 24 24 24,1
 18122 6574 219 219 219 219 219, 18122 6574 219 219 219 219 219,1
 4994 230 3289 25 7 1056 219, 4994 230 3289 25 7 1056 219,0
 1610 313 45 2354 24 53, 1610 313 45 2354 24 53,0
 1468 43 723, 1468 43 723,1
 193 2500 19 902 12 221 14 226 157 6668 203 24 24 24 24 24, 193 2500 19 902 12 221 14 226 157 6668 203 24 24 24 24 24,1
,,1
 80 313 1779 14 15 24 24 24 24 24 22573, 80 313 1779 14 15 24 24 24 24 24 22573,1
 3023 59 3015 5482, 3023 59 3015 5482,0
 37 46 43 2246 136 327 19 2835, 37 46 43 2246 136 327 19 2835,0
 1946 3865 46 552 2549 9213 24 24 24 19678 13406 28 2698 333 46 344 46 5671 46 983 244, 1946 3865 46 552 2549 9213 24 24 24 19678 13406 28 2698 333 46 344 46 5671 46 983 244,1
 390 2359 17792 17793 17794, 390 2359 17792 17793 17794,1
 1455 40 13704 7 880, 1455 40 13704 7 880,0
 13452 187 13453 37 46 203 5013 4592, 13452 187 13453 37 46 203 5013 4592,0
 1 2 3 1499 22686 71 22687 19 18591 219, 1 2 3 1499 22686 71 22687 19 18591 219,1
 319 16544 19 904 133 313 239, 319 16544 19 904 133 313 239,1
 5 12 157 354 2425 24 334 3558 18136, 5 12 157 354 2425 24 334 3558 18136,1
 494 14548 497 14548 11 2543, 494 14548 497 14548 11 2543,0
 37 46 930 593 7 61, 37 46 930 593 7 61,1
 14530 4315 239, 14530 4315 239,0
 37 46 13516 0 13517, 37 46 13516 0 13517,0
 37 46 13502 250, 37 46 13502 250,0
 37 46 11624 230 17 43 723 219, 37 46 11624 230 17 43 723 219,0
 37 46 13609 13610, 37 46 13609 13610,0
 4005 230 3409 4726 7 885, 4005 230 3409 4726 7 885,0
,,1
 313 1929, 313 1929,1
 17 102 7 2030 655, 17 102 7 2030 655,0
 11269 1629 46 56 184 54 60, 11269 1629 46 56 184 54 60,0
 13538 230 17 2494 219 56 2715 60, 13538 230 17 2494 219 56 2715 60,0
 2714 46 157 2435 4549 14106 323 19 1760 364 24 552 340 569 336 833 339 403 56 2715 60, 2714 46 157 2435 4549 14106 323 19 1760 364 24 552 340 569 336 833 339 403 56 2715 60,0
 1455 40 14535, 1455 40 14535,0
 37 46 630 3857 5098 7 14102, 37 46 630 3857 5098 7 14102,0
 1286 3650 660 313 5930 219 219 219 219, 1286 3650 660 313 5930 219 219 219 219,1
 37 46 13502 250, 37 46 13502 250,0
 1931 422 10494 20762 219 219 219 219 219 219 219 219, 1931 422 10494 20762 219 219 219 219 219 219 219 219,1
 3442 4229 24 14376 7 15 3807 19 15 10626 24 24 24, 3442 4229 24 14376 7 15 3807 19 15 10626 24 24 24,1
 11206 2128 219 5464 6806 63, 11206 2128 219 5464 6806 63,1
 37 46 917 230 5 3231 2074, 37 46 917 230 5 3231 2074,0
 13876 12053, 13876 12053,0
 14009 46 1182 829 59 3401 4614, 14009 46 1182 829 59 3401 4614,0
 13415 22 18815 413 35 1797 7 22659, 13415 22 18815 413 35 1797 7 22659,1
 288 3105 864 9071 231, 288 3105 864 9071 231,0
 17002 19454 16986 10484 17008 17054 17051 17001 4311 12058 192 192 17016 16996 16996 17015 9672 10484 20325 17039 19301 17045 19456 4310 22783 10484 17016 17016 16986 17015 17055 17051 239 10484 9672 17013 4311 17013 4311 17013 4311, 17002 19454 16986 10484 17008 17054 17051 17001 4311 12058 192 192 17016 16996 16996 17015 9672 10484 20325 17039 19301 17045 19456 4310 22783 10484 17016 17016 16986 17015 17055 17051 239 10484 9672 17013 4311 17013 4311 17013 4311,1
 1384 1920 1920 1920 55 221 18199 833 21822 18200 273 1468 2369 219 219 219, 1384 1920 1920 1920 55 221 18199 833 21822 18200 273 1468 2369 219 219 219,1
 37 46 12 129 432 405 40 1905 1207 38 327, 37 46 12 129 432 405 40 1905 1207 38 327,0
 414 936 352 4985 2193 127 7 141 2 37 15 217 1276 2 96 17736 85 6038 217, 414 936 352 4985 2193 127 7 141 2 37 15 217 1276 2 96 17736 85 6038 217,1
 22672 8916 7 5197 187 9171 6189, 22672 8916 7 5197 187 9171 6189,1
 3698 4924 3319 268 268 404 1317 268 268 4284 268 268, 3698 4924 3319 268 268 404 1317 268 268 4284 268 268,1
 240 12 221 15 22866 13892 239, 240 12 221 15 22866 13892 239,1
 288 3105 864 9071 231, 288 3105 864 9071 231,0
 1276 16571, 1276 16571,1
 23074 1192 1468 23075 2035, 23074 1192 1468 23075 2035,1
 317 16426, 317 16426,1
 37 46 494 14548 497 10813 10 9437, 37 46 494 14548 497 10813 10 9437,0
 1455 40 4970, 1455 40 4970,0
 3338, 3338,1
 12902 1919 344 102 7 2030, 12902 1919 344 102 7 2030,1
 17 2354 24 53 2353, 17 2354 24 53 2353,0
 1129 3105 2 1125, 1129 3105 2 1125,0
 8731 1920 578 567 333 522 2482 22271 24 24 24, 8731 1920 578 567 333 522 2482 22271 24 24 24,1
 1455 40 5165 11822, 1455 40 5165 11822,0
 37 46 917 230 5 3231 2074, 37 46 917 230 5 3231 2074,0
 22 4803 6 24 24 24 24 24, 22 4803 6 24 24 24 24 24,1
 1495 18116 1311 233 313 312 21 151 22 18114 22681 24, 1495 18116 1311 233 313 312 21 151 22 18114 22681 24,1
 133 3012, 133 3012,0
 1455 40 4483, 1455 40 4483,0
 37 46 807 13581 24 24 24, 37 46 807 13581 24 24 24,0
 2796 2797 833 288 1783, 2796 2797 833 288 1783,0
 37 46 9423 334 1012 5331 239 239 56 2715 60, 37 46 9423 334 1012 5331 239 239 56 2715 60,0
 1442 7 25 2982 7 550 2991 13252, 1442 7 25 2982 7 550 2991 13252,0
 904 241 15209 7 1468 305 239, 904 241 15209 7 1468 305 239,1
 1468 1551 55 15 1276 7 7 184 11861 219 219 219, 1468 1551 55 15 1276 7 7 184 11861 219 219 219,1
 3424 4924 230 1276 2384, 3424 4924 230 1276 2384,1
 1210 1817, 1210 1817,1
 37 46 313 151 1950 219, 37 46 313 151 1950 219,1
 17003 1421 239 17015 4310 22789 4313 17008 17039 10488 4311 102 4313 5871 19210 22790 10484 17045 475 239 22791, 17003 1421 239 17015 4310 22789 4313 17008 17039 10488 4311 102 4313 5871 19210 22790 10484 17045 475 239 22791,1
 37 46 917 230 5 3231 2074, 37 46 917 230 5 3231 2074,0
 11269 1629, 11269 1629,0
 1920 344 19 2742 108 2991 12 1046, 1920 344 19 2742 108 2991 12 1046,1
 17020 16999 15602 239 17013 4311 17054 17027 239 13253 17034 17053 4313 17013 17021 10484 17028 17033 17045 9672 17051 16998 10484 17003 10484 17031 17007 17002 16986 10484 10484 17031 17013 4311 1919 5594 768 334, 17020 16999 15602 239 17013 4311 17054 17027 239 13253 17034 17053 4313 17013 17021 10484 17028 17033 17045 9672 17051 16998 10484 17003 10484 17031 17007 17002 16986 10484 10484 17031 17013 4311 1919 5594 768 334,1
 14009 24 1503 2030 2309, 14009 24 1503 2030 2309,1
 15602 12058 16998 13253 17004 13073 17054 23019 17003 18983 17013 4311, 15602 12058 16998 13253 17004 13073 17054 23019 17003 18983 17013 4311,1
 630 880, 630 880,1
 10593 13948 13035 11903, 10593 13948 13035 11903,0
 157 166 2494, 157 166 2494,0
 37 46 12 129 432 405 40 1905 1207 38 327, 37 46 12 129 432 405 40 1905 1207 38 327,0
 8312 15 5567 7 22846, 8312 15 5567 7 22846,1
 3416 1920 345 19 2742 7 6054 593 38 22648 219, 3416 1920 345 19 2742 7 6054 593 38 22648 219,1
 211 239 5896 239 560 239 5708 352 22857 892 22858 17696 22859 63 22860 345 22861 211 211 239 211, 211 239 5896 239 560 239 5708 352 22857 892 22858 17696 22859 63 22860 345 22861 211 211 239 211,1
 610 46 3023 4168 7 377 1191 109, 610 46 3023 4168 7 377 1191 109,0
 17028 17032 17001 15602 10484 16996 17034 16997 17045 17031 17051 17004 17021 17027 17002 17038 17004 239 17016 17030, 17028 17032 17001 15602 10484 16996 17034 16997 17045 17031 17051 17004 17021 17027 17002 17038 17004 239 17016 17030,1
 51 3394 3404 833 3547 1747 2494 7 17 372, 51 3394 3404 833 3547 1747 2494 7 17 372,0
 37 46 433 3768 260, 37 46 433 3768 260,0
 13773 13774 13775 13776 975 800, 13773 13774 13775 13776 975 800,0
 4574 46 14161 14162, 4574 46 14161 14162,0
 80 313 895 55 18556 87 1122 239 239, 80 313 895 55 18556 87 1122 239 239,1
 23 3650 45 23 1050, 23 3650 45 23 1050,1
 37 46 286 414, 37 46 286 414,0
 37 46 11271 560 767 20 288 1669 1480, 37 46 11271 560 767 20 288 1669 1480,0
 8731 1920 1982 19 2742 71 2470 1702 219 219 219, 8731 1920 1982 19 2742 71 2470 1702 219 219 219,1
 56 56 56 56 56 56 56 7 211 666 40 3416 869 14 1171 5443 16821 219 219 211 7 60 60 60 60 60 60 60 24, 56 56 56 56 56 56 56 7 211 666 40 3416 869 14 1171 5443 16821 219 219 211 7 60 60 60 60 60 60 60 24,1
 12894 71 17 15643 1277 219 17685, 12894 71 17 15643 1277 219 17685,1
